section,in_resume,title,loc,institution,startmonth,start,endmonth,end,description_1,description_2,description_3,time
experience,TRUE,Assistant Project Manager,Remote,RBDC - Research and Business Development Center,September,2020,December,2020,Used Python to create functions and Machine Learning algorithms,Developed code in shortest path optimization for warehouse robot,Lead Scrum meetings and helped programmers develop code,Part-Time
experience,TRUE,Research Specialist Intern,Remote,LLNL - Lawrence Livermore National Labs,July,2020,September,2020,Tested security technologies using binary analysis,Conducted market research on new security techniques,Followed Scrum methodology and Kanban (Trello) board,Internship
experience,TRUE,Student Senior Designer,Remote,NASA - National Aeronautics and Space Administration,April,2020,July,2020,Developed embedded C interface to the sensors in NASA's Spacesuit,Benchmark tested the microprocessor in C++,"Setup a website using Rmds, CSS and Yaml",Contract
