Year,Semester,Instructor,Gender,Class,Course Average*,Reading Score,Reading Progress
2019,Winter,B,Male,Freshman,0.79,0.61,0.87
2019,Winter,B,Male,Freshman,0.97,0.85,1
2019,Winter,B,Male,Sophomore,0.85,0.66,0.93
2019,Winter,B,Male,Freshman,0.89,0.54,1
2019,Winter,B,Male,Sophomore,0.29,0.16,0.3
2019,Winter,B,Male,Sophomore,0.92,0.77,0.96
2019,Winter,B,Male,Sophomore,0.89,0.72,0.96
2019,Winter,B,Male,Sophomore,0.86,0.61,0.95
2019,Winter,B,Male,Sophomore,0.63,0.52,0.67
2019,Winter,B,Male,Freshman,0.17,0.08,0.19
2019,Winter,B,Male,Sophomore,0.85,0.54,0.96
2019,Winter,B,Male,Sophomore,0.87,0.59,0.96
2019,Winter,B,Male,Sophomore,0.95,0.9,1
2019,Winter,B,Female,Freshman,0.59,0.38,0.68
2019,Winter,B,Female,Junior,0.94,0.75,1
2019,Winter,B,Male,Freshman,0.87,0.62,0.95
2019,Winter,B,Male,Freshman,0.9,0.71,0.96
2019,Winter,B,Female,Sophomore,0.92,0.7,1
2019,Winter,B,Male,Freshman,0.89,0.58,0.99
2019,Winter,B,Male,Freshman,0.88,0.73,0.93
2019,Winter,B,Male,Freshman,0.9,0.75,0.96
2019,Winter,B,Male,Senior,0,0,0
2019,Winter,B,Female,Freshman,0.93,0.75,1
2019,Winter,B,Male,Freshman,0.2,0.12,0.23
2019,Winter,B,Male,Freshman,0,0,0
2019,Winter,B,Male,Freshman,0.75,0.46,0.85
2019,Winter,B,Female,Junior,0.65,0.5,0.72
2019,Winter,B,Male,Freshman,0,0,0
2019,Winter,B,Male,Senior,0.89,0.73,0.95
2019,Winter,B,Male,Freshman,0.75,0.51,0.85
2019,Winter,B,Male,Sophomore,0.88,0.71,0.95
2019,Winter,B,Male,Senior,0.95,0.84,1
2019,Winter,B,Male,Freshman,0.89,0.62,1
2019,Winter,B,Male,Freshman,0.95,0.81,1
2019,Winter,B,Male,Freshman,0.83,0.62,0.92
2019,Winter,B,Female,Freshman,0.91,0.78,0.96
2019,Winter,B,Male,Freshman,0.75,0.57,0.81
